"Warehouse Name","States","Complete Address","Pincode","Longitude","Latitude"
"Saidamflex_01","Maharashtra","Warehouse Saidham, Village Dohale, Post Padgha, Taluka Bhiwandi, Thane, Maharashtra, 421101, India",421101,73.1757202148438,19.3643188476562
"Bhiwandi BTS","Maharashtra","Warehouse WE-II, Renaissance Integrated Industrial Area, Village Vashere, Bhiwandi, Thane, Maharashtra, 421302, India",421302,73.0572509765625,19.3013439178467
"Kolkata Uluberia BTS","West Bengal","J.L. No 9,55,8, Mouza Chandipur, Harinarayan Chak, Amraberia, Howrah, West Bengal, 711316, India",711316,88.09130859375,22.4717102050781
"_ulub_bts_","West Bengal","J.L. No 9,55,8, Harinarayan Chak, Amraberia, West Bengal, 711316, India",711316,88.09130859375,22.4717102050781
"kol_bag_06","West Bengal","NH-6, Mouza & Village Bagnan, West Bengal, 711303, India",711303,87.9343338012695,22.4973430633545
"kol_bag_06L","West Bengal","NH-6, Tenpur Nabasan & Hijlok PO, West Bengal, 711303, India",711303,87.9343338012695,22.4973430633545
"_jal_bin_wh_nl_","West Bengal","LR Plot Nos 931,934,936,955–962, Jalpaiguri Road, Jalpaiguri, West Bengal, 734007, India",734007,88.4308166503906,26.7299327850342
"_luc_has_wh_nl_","UTTAR PRADESH","Gata Nos 193–198, Village Rasulpur, Tehsil Hasanganj, Kanpur, Uttar Pradesh, 209859, India",209859,80.4207153320312,27.1006660461426
"hyd_sgr_wh_l_01","Telangana","Survey Nos 23,24,25, Uttarpally Village, Kandi Mandal, Telangana, 502295, India",502295,78.0695419311523,17.5749187469482
"hyderabad_medchal_01","Telangana","Sy No 696, Gundlapochampally Village, Ranga Reddy District, Telangana, 501401, India",501401,78.4830017089844,17.6444568634033
"Hyderabad Medchal Warehouse","Telangana","Sy No 696, Gundlapochampally Village, Medchal Mandal, Secunderabad, Telangana, 501401, India",501401,78.4830017089844,17.6444568634033
